format,k,x,quantized,abs_error,rel_error
tiny8,-5.400000,3.9810717055351317e-6,0.0000000000000000e0,3.9810717055351317e-6,1.0000000000000000e0
tiny8,-5.300000,5.0118723362729198e-6,0.0000000000000000e0,5.0118723362729198e-6,1.0000000000000000e0
tiny8,-5.200000,6.3095734448021753e-6,0.0000000000000000e0,6.3095734448021753e-6,1.0000000000000000e0
tiny8,-5.100000,7.9432823472431131e-6,0.0000000000000000e0,7.9432823472431131e-6,1.0000000000000000e0
tiny8,-5.000000,1.0000000000000368e-5,0.0000000000000000e0,1.0000000000000368e-5,1.0000000000000000e0
tiny8,-4.900000,1.2589254117942125e-5,0.0000000000000000e0,1.2589254117942125e-5,1.0000000000000000e0
tiny8,-4.800000,1.5848931924611693e-5,0.0000000000000000e0,1.5848931924611693e-5,1.0000000000000000e0
tiny8,-4.700000,1.9952623149689481e-5,0.0000000000000000e0,1.9952623149689481e-5,1.0000000000000000e0
tiny8,-4.600000,2.5118864315096645e-5,0.0000000000000000e0,2.5118864315096645e-5,1.0000000000000000e0
tiny8,-4.500000,3.1622776601684825e-5,0.0000000000000000e0,3.1622776601684825e-5,1.0000000000000000e0
tiny8,-4.400000,3.9810717055350996e-5,0.0000000000000000e0,3.9810717055350996e-5,1.0000000000000000e0
tiny8,-4.300000,5.0118723362728790e-5,0.0000000000000000e0,5.0118723362728790e-5,1.0000000000000000e0
tiny8,-4.200000,6.3095734448021231e-5,0.0000000000000000e0,6.3095734448021231e-5,1.0000000000000000e0
tiny8,-4.100000,7.9432823472430484e-5,0.0000000000000000e0,7.9432823472430484e-5,1.0000000000000000e0
tiny8,-4.000000,1.0000000000000296e-4,0.0000000000000000e0,1.0000000000000296e-4,1.0000000000000000e0
tiny8,-3.900000,1.2589254117942048e-4,0.0000000000000000e0,1.2589254117942048e-4,1.0000000000000000e0
tiny8,-3.800000,1.5848931924611611e-4,0.0000000000000000e0,1.5848931924611611e-4,1.0000000000000000e0
tiny8,-3.700000,1.9952623149689400e-4,0.0000000000000000e0,1.9952623149689400e-4,1.0000000000000000e0
tiny8,-3.600000,2.5118864315096565e-4,0.0000000000000000e0,2.5118864315096565e-4,1.0000000000000000e0
tiny8,-3.500000,3.1622776601684764e-4,0.0000000000000000e0,3.1622776601684764e-4,1.0000000000000000e0
tiny8,-3.400000,3.9810717055350955e-4,0.0000000000000000e0,3.9810717055350955e-4,1.0000000000000000e0
tiny8,-3.300000,5.0118723362728781e-4,0.0000000000000000e0,5.0118723362728781e-4,1.0000000000000000e0
tiny8,-3.200000,6.3095734448021304e-4,0.0000000000000000e0,6.3095734448021304e-4,1.0000000000000000e0
tiny8,-3.100000,7.9432823472430647e-4,0.0000000000000000e0,7.9432823472430647e-4,1.0000000000000000e0
tiny8,-3.000000,1.0000000000000317e-3,0.0000000000000000e0,1.0000000000000317e-3,1.0000000000000000e0
tiny8,-2.900000,1.2589254117942074e-3,0.0000000000000000e0,1.2589254117942074e-3,1.0000000000000000e0
tiny8,-2.800000,1.5848931924611644e-3,0.0000000000000000e0,1.5848931924611644e-3,1.0000000000000000e0
tiny8,-2.700000,1.9952623149689440e-3,0.0000000000000000e0,1.9952623149689440e-3,1.0000000000000000e0
tiny8,-2.600000,2.5118864315096618e-3,0.0000000000000000e0,2.5118864315096618e-3,1.0000000000000000e0
tiny8,-2.500000,3.1622776601684826e-3,0.0000000000000000e0,3.1622776601684826e-3,1.0000000000000000e0
tiny8,-2.400000,3.9810717055351035e-3,0.0000000000000000e0,3.9810717055351035e-3,1.0000000000000000e0
tiny8,-2.300000,5.0118723362728886e-3,0.0000000000000000e0,5.0118723362728886e-3,1.0000000000000000e0
tiny8,-2.200000,6.3095734448021428e-3,0.0000000000000000e0,6.3095734448021428e-3,1.0000000000000000e0
tiny8,-2.100000,7.9432823472430809e-3,0.0000000000000000e0,7.9432823472430809e-3,1.0000000000000000e0
tiny8,-2.000000,1.0000000000000337e-2,0.0000000000000000e0,1.0000000000000337e-2,1.0000000000000000e0
tiny8,-1.900000,1.2589254117942100e-2,0.0000000000000000e0,1.2589254117942100e-2,1.0000000000000000e0
tiny8,-1.800000,1.5848931924611676e-2,1.5625000000000000e-2,2.2393192461167555e-4,1.4129149249731682e-2
tiny8,-1.700000,1.9952623149689482e-2,1.9531250000000000e-2,4.2137314968948222e-4,2.1118684321767483e-2
tiny8,-1.600000,2.5118864315096669e-2,2.5390625000000000e-2,2.7176068490333133e-4,1.0818987733454201e-2
tiny8,-1.500000,3.1622776601684895e-2,3.1250000000000000e-2,3.7277660168489463e-4,1.1788231197415875e-2
tiny8,-1.400000,3.9810717055351115e-2,3.9062500000000000e-2,7.4821705535111499e-4,1.8794362691604526e-2
tiny8,-1.300000,5.0118723362728990e-2,5.0781250000000000e-2,6.6252663727101035e-4,1.3219144320098568e-2
tiny8,-1.200000,6.3095734448021551e-2,6.2500000000000000e-2,5.9573444802155096e-4,9.4417547118390184e-3
tiny8,-1.100000,7.9432823472430983e-2,7.8125000000000000e-2,1.3078234724309828e-3,1.6464522035841939e-2
tiny8,-1.000000,1.0000000000000356e-1,1.0156250000000000e-1,1.5624999999964417e-3,1.5624999999963862e-2
tiny8,-0.900000,1.2589254117942120e-1,1.2500000000000000e-1,8.9254117942119682e-4,7.0897065946834226e-3
tiny8,-0.800000,1.5848931924611698e-1,1.5625000000000000e-1,2.2393192461169775e-3,1.4129149249733063e-2
tiny8,-0.700000,1.9952623149689502e-1,2.0312500000000000e-1,3.5987685031049765e-3,1.8036568305360792e-2
tiny8,-0.600000,2.5118864315096689e-1,2.5000000000000000e-1,1.1886431509668949e-3,4.7320736162920728e-3
tiny8,-0.500000,3.1622776601684910e-1,3.1250000000000000e-1,3.7277660168490989e-3,1.1788231197416352e-2
tiny8,-0.400000,3.9810717055351130e-1,4.0625000000000000e-1,8.1428294464886974e-3,2.0453862800730901e-2
tiny8,-0.300000,5.0118723362728990e-1,5.0000000000000000e-1,1.1872336272898965e-3,2.3688425155952556e-3
tiny8,-0.200000,6.3095734448021545e-1,6.2500000000000000e-1,5.9573444802154540e-3,9.4417547118389317e-3
tiny8,-0.100000,7.9432823472430947e-1,8.1250000000000000e-1,1.8171765275690532e-2,2.2876897082724848e-2
tiny8,0.000000,1.0000000000000353e0,1.0000000000000000e0,3.5305092183079978e-14,3.5305092183078728e-14
tiny8,0.100000,1.2589254117942115e0,1.2500000000000000e0,8.9254117942114686e-3,7.0897065946830288e-3
tiny8,0.200000,1.5848931924611693e0,1.6250000000000000e0,4.0106807538830669e-2,2.5305684780277903e-2
tiny8,0.300000,1.9952623149689499e0,2.0000000000000000e0,4.7376850310500984e-3,2.3744672545092530e-3
tiny8,0.400000,2.5118864315096689e0,2.5000000000000000e0,1.1886431509668949e-2,4.7320736162920728e-3
tiny8,0.500000,3.1622776601684910e0,3.2500000000000000e0,8.7722339831509011e-2,2.7740239554686994e-2
tiny8,0.600000,3.9810717055351126e0,4.0000000000000000e0,1.8928294464887419e-2,4.7545726037966918e-3
tiny8,0.700000,5.0118723362728987e0,5.0000000000000000e0,1.1872336272898742e-2,2.3688425155952114e-3
tiny8,0.800000,6.3095734448021545e0,6.5000000000000000e0,1.9042655519784546e-1,3.0180575099687513e-2
tiny8,0.900000,7.9432823472430938e0,8.0000000000000000e0,5.6717652756906212e-2,7.1403294352984231e-3
tiny8,1.000000,1.0000000000000353e1,1.0000000000000000e1,3.5349501104064984e-13,3.5349501104063732e-14
tiny8,1.100000,1.2589254117942119e1,1.3000000000000000e1,4.1074588205788132e-1,3.2626705141529322e-2
tiny8,1.200000,1.5848931924611701e1,1.6000000000000000e1,1.5106807538829869e-1,9.5317511682731174e-3
tiny8,1.300000,1.9952623149689511e1,2.0000000000000000e1,4.7376850310488550e-2,2.3744672545086280e-3
tiny8,1.400000,2.5118864315096708e1,2.6000000000000000e1,8.8113568490329186e-1,3.5078643439055479e-2
tiny8,1.500000,3.1622776601684940e1,3.2000000000000000e1,3.7722339831505991e-1,1.1928851253844689e-2
tiny8,1.600000,3.9810717055351176e1,4.0000000000000000e1,1.8928294464882356e-1,4.7545726037954142e-3
tiny8,1.700000,5.0118723362729071e1,5.2000000000000000e1,1.8812766372709291e0,3.7536403783779253e-2
tiny8,1.800000,6.3095734448021652e1,6.4000000000000000e1,9.0426555197834801e-1,1.4331643175075221e-2
tiny8,1.900000,7.9432823472431096e1,8.0000000000000000e1,5.6717652756890402e-1,7.1403294352964186e-3
tiny8,2.000000,1.0000000000000368e2,1.0400000000000000e2,3.9999999999963194e0,3.9999999999961719e-2
tiny8,2.100000,1.2589254117942139e2,1.2800000000000000e2,2.1074588205786142e0,1.6740140447042650e-2
tiny8,2.200000,1.5848931924611725e2,1.6000000000000000e2,1.5106807538827525e0,9.5317511682716238e-3
tiny8,2.300000,1.9952623149689543e2,1.9200000000000000e2,7.5262314968954342e0,3.7720511435673260e-2
tiny8,2.400000,2.5118864315096747e2,inf,inf,inf
tiny8,2.500000,3.1622776601684990e2,inf,inf,inf
tiny8,2.600000,3.9810717055351239e2,inf,inf,inf
tiny8,2.700000,5.0118723362729145e2,inf,inf,inf
tiny8,2.800000,6.3095734448021756e2,inf,inf,inf
tiny8,2.900000,7.9432823472431221e2,inf,inf,inf
tiny8,3.000000,1.0000000000000389e3,inf,inf,inf
tiny8,3.100000,1.2589254117942164e3,inf,inf,inf
tiny8,3.200000,1.5848931924611757e3,inf,inf,inf
tiny8,3.300000,1.9952623149689584e3,inf,inf,inf
tiny8,3.400000,2.5118864315096798e3,inf,inf,inf
tiny8,3.500000,3.1622776601685055e3,inf,inf,inf
tiny8,3.600000,3.9810717055351320e3,inf,inf,inf
tiny8,3.700000,5.0118723362729252e3,inf,inf,inf
