x,quantizer,quantized,abs_error,rel_error
-0.180000,profile_pos_fine_neg_coarse,-0.179687500000,3.124999999993e-4,1.736111111107e-3
-0.170000,bf16_like,-0.169921875000,7.812499999926e-5,4.595588235251e-4
-0.170000,f32_like,-0.170000001788,1.788140080450e-9,1.051847106147e-8
-0.170000,profile_pos_fine_neg_coarse,-0.171875000000,1.875000000001e-3,1.102941176471e-2
-0.160000,bf16_like,-0.160156250000,1.562500000007e-4,9.765625000047e-4
-0.160000,f32_like,-0.159999996424,3.576277940454e-9,2.235173712783e-8
-0.160000,profile_pos_fine_neg_coarse,-0.156250000000,3.749999999999e-3,2.343750000000e-2
-0.150000,bf16_like,-0.150390625000,3.906250000008e-4,2.604166666672e-3
-0.150000,f32_like,-0.150000005960,5.960465232491e-9,3.973643488327e-8
-0.150000,profile_pos_fine_neg_coarse,-0.148437500000,1.562499999999e-3,1.041666666666e-2
-0.140000,bf16_like,-0.139648437500,3.515624999992e-4,2.511160714280e-3
-0.140000,f32_like,-0.140000000596,5.960472115873e-10,4.257480082767e-9
-0.140000,profile_pos_fine_neg_coarse,-0.140625000000,6.250000000008e-4,4.464285714291e-3
-0.130000,bf16_like,-0.129882812500,1.171874999992e-4,9.014423076864e-4
-0.130000,f32_like,-0.129999995232,4.768370809316e-9,3.667977545628e-8
-0.130000,profile_pos_fine_neg_coarse,-0.132812500000,2.812500000001e-3,2.163461538462e-2
-0.120000,bf16_like,-0.120117187500,1.171875000008e-4,9.765625000064e-4
-0.120000,f32_like,-0.119999997318,2.682208247173e-9,2.235173539311e-8
-0.120000,profile_pos_fine_neg_coarse,-0.121093750000,1.093750000001e-3,9.114583333340e-3
-0.110000,bf16_like,-0.109863281250,1.367187499992e-4,1.242897727266e-3
-0.110000,f32_like,-0.109999999404,5.960456850307e-10,5.418597136643e-9
-0.110000,profile_pos_fine_neg_coarse,-0.109375000000,6.249999999992e-4,5.681818181811e-3
-0.100000,bf16_like,-0.100097656250,9.765625000076e-5,9.765625000076e-4
-0.100000,f32_like,-0.100000001490,1.490116877112e-9,1.490116877112e-8
-0.100000,profile_pos_fine_neg_coarse,-0.101562500000,1.562500000001e-3,1.562500000001e-2
-0.090000,bf16_like,-0.089843750000,1.562499999992e-4,1.736111111103e-3
-0.090000,f32_like,-0.090000003576,3.576279439255e-9,3.973643821394e-8
-0.090000,profile_pos_fine_neg_coarse,-0.089843750000,1.562499999992e-4,1.736111111103e-3
-0.080000,bf16_like,-0.080078125000,7.812500000075e-5,9.765625000094e-4
-0.080000,f32_like,-0.079999998212,1.788138595527e-9,2.235173244408e-8
-0.080000,profile_pos_fine_neg_coarse,-0.078125000000,1.874999999999e-3,2.343749999999e-2
-0.070000,bf16_like,-0.069824218750,1.757812499993e-4,2.511160714275e-3
-0.070000,f32_like,-0.070000000298,2.980239666162e-10,4.257485237374e-9
-0.070000,profile_pos_fine_neg_coarse,-0.070312500000,3.125000000007e-4,4.464285714296e-3
-0.060000,bf16_like,-0.060058593750,5.859375000074e-5,9.765625000124e-4
-0.060000,f32_like,-0.059999998659,1.341103762764e-9,2.235172937940e-8
-0.060000,profile_pos_fine_neg_coarse,-0.060546875000,5.468750000007e-4,9.114583333346e-3
-0.050000,bf16_like,-0.050048828125,4.882812500075e-5,9.765625000149e-4
-0.050000,f32_like,-0.050000000745,7.450588063174e-10,1.490117612635e-8
-0.050000,profile_pos_fine_neg_coarse,-0.050781250000,7.812500000007e-4,1.562500000002e-2
-0.040000,bf16_like,-0.040039062500,3.906250000075e-5,9.765625000187e-4
-0.040000,f32_like,-0.039999999106,8.940689230630e-10,2.235172307658e-8
-0.040000,profile_pos_fine_neg_coarse,-0.039062500000,9.374999999993e-4,2.343749999998e-2
-0.030000,bf16_like,-0.030029296875,2.929687500075e-5,9.765625000250e-4
-0.030000,f32_like,-0.029999999329,6.705515032124e-10,2.235171677375e-8
-0.030000,profile_pos_fine_neg_coarse,-0.030273437500,2.734375000008e-4,9.114583333359e-3
-0.020000,bf16_like,-0.020019531250,1.953125000075e-5,9.765625000377e-4
-0.020000,f32_like,-0.019999999553,4.470340833618e-10,2.235170416809e-8
-0.020000,profile_pos_fine_neg_coarse,-0.019531250000,4.687499999992e-4,2.343749999996e-2
-0.010000,bf16_like,-0.010009765625,9.765625000753e-6,9.765625000753e-4
-0.010000,f32_like,-0.009999999776,2.235166652459e-10,2.235166652459e-8
-0.010000,profile_pos_fine_neg_coarse,-0.009765625000,2.343749999992e-4,2.343749999993e-2
0.000000,bf16_like,0.000000000000,0.000000000000e0,0.000000000000e0
0.000000,f32_like,0.000000000000,0.000000000000e0,0.000000000000e0
0.000000,profile_pos_fine_neg_coarse,0.000000000000,7.528699885739e-16,1.000000000000e0
0.010000,bf16_like,0.010009765625,9.765624999247e-6,9.765624999246e-4
0.010000,f32_like,0.009999999776,2.235181709859e-10,2.235181709859e-8
0.010000,profile_pos_fine_neg_coarse,0.010000228882,2.288818351844e-7,2.288818351844e-5
0.020000,bf16_like,0.020019531250,1.953124999925e-5,9.765624999623e-4
0.020000,f32_like,0.019999999553,4.470355891018e-10,2.235177945509e-8
0.020000,profile_pos_fine_neg_coarse,0.020000457764,4.577636711217e-7,2.288818355608e-5
0.030000,bf16_like,0.030029296875,2.929687499924e-5,9.765624999748e-4
0.030000,f32_like,0.029999999329,6.705530089524e-10,2.235176696508e-8
0.030000,profile_pos_fine_neg_coarse,0.029998779297,1.220703125755e-6,4.069010419184e-5
0.040000,bf16_like,0.040039062500,3.906249999924e-5,9.765624999811e-4
0.040000,f32_like,0.039999999106,8.940704288030e-10,2.235176072007e-8
0.040000,profile_pos_fine_neg_coarse,0.040000915527,9.155273429928e-7,2.288818357482e-5
0.050000,bf16_like,0.050048828125,4.882812499924e-5,9.765624999848e-4
0.050000,f32_like,0.050000000745,7.450573005774e-10,1.490114601155e-8
0.050000,profile_pos_fine_neg_coarse,0.050003051758,3.051757811741e-6,6.103515623482e-5
0.060000,bf16_like,0.060058593750,5.859374999924e-5,9.765624999873e-4
0.060000,f32_like,0.059999998659,1.341105268504e-9,2.235175447507e-8
0.060000,profile_pos_fine_neg_coarse,0.059997558594,2.441406250761e-6,4.069010417935e-5
0.070000,bf16_like,0.069824218750,1.757812500008e-4,2.511160714296e-3
0.070000,f32_like,0.070000000298,2.980224678151e-10,4.257463825930e-9
0.070000,profile_pos_fine_neg_coarse,0.070007324219,7.324218749244e-6,1.046316964178e-4
